unit name,unit uuid,unit group name,unit group uuid,flow property name,flow property uuid
ha*a,4866ec7b-6218-4783-87b4-cbd107280a85,Units of area*time,93a60a57-a3c8-20da-a746-0800200c9a66,Area*time,93a60a56-a3c8-21da-a746-0800200c9a66
year,9a87f840-752d-4863-b911-533f92ee5073,Units of time,af638906-3ec7-4314-8de7-f76039f2dd01,Duration,c0447923-0e60-4b3c-97c2-a86dddd9eea5
GBP 2000,ae63f1fd-3679-443a-ad06-8d03e867351e,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
Imp.min.,cff8f1bf-bda0-4fc1-b14c-537d8861dcce,Units of volume,93a60a57-a3c8-12da-a746-0800200c9a66,Volume,93a60a56-a3c8-22da-a746-0800200c9a66
Yen2000,6c277db7-2784-4296-83bf-15c04a9d59b2,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
KRW 2000,d246fd48-c363-4f0e-ab01-641325dd89eb,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
pmi,702d94e7-fbae-4a99-a2f5-b26db21126d6,Units of person transport,11d161f0-37e3-4d49-bf7a-ff4f31a9e5c7,Person transport,8766e10f-9f41-4db0-8173-ad0d002a5b98
lb*mi,5458351a-f6f7-4e0b-a449-823c9b6374db,Units of mass*length,838aaa21-0117-11db-92e3-0800200c9a66,Goods transport (mass*distance),838aaa20-0117-11db-92e3-0800200c9a66
sq.yd,6c4b1e4a-bf45-4385-a60c-12cc48ecbab5,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
mi2,20ce5f57-69b1-438b-a8e8-23089854d058,Units of area,93a60a57-a3c8-18da-a746-0800200c9a66,Area,93a60a56-a3c8-19da-a746-0800200c9a66
kBq,e9773595-284e-46dd-9671-5fc9ff406833,Units of radioactivity,93a60a57-a3c8-16da-a746-0800200c9a66,Radioactivity,93a60a56-a3c8-17da-a746-0800200c9a66
g*a,2fdc0039-6c5e-489a-af77-b225684fa337,Units of mass*time,59f191d6-5dd3-4553-af88-1a32accfe308,Mass*time,4e10f566-0358-489a-8e3a-d687b66c50e6
CZK 2000,fd100082-4cdf-4932-9282-6bb7d7091bd4,Units of currency,da299c4d-1741-4da8-9fbd-5ccfb5e1d688,"Market value, bulk prices",fdfecf14-ff8a-4e17-b2b2-f938c4b5cc27
